Username,Title,Date,Comment,rating
Doug,I go with these,2024-10-04,"What can I say about these nice Micfrosoft Xbox controllers. They are of the best and these colors are enjoyable. You know that kind of color that excites you when you see it? However, the build quality on these controllers is not of the best. The controller looks and feels like a quality controller, but I find that they last about 6 months before something stops working on them. Like on my last controller, the right bumper button went flat like it lost its spring. Fortunately, these Xbox controllers cost less than the Playstation or Nintendo Brand controllers. Still, I give Xbox 5 stars because all of these controllers break just the same so... why not spend less money on a nice feeling controller with exciting colors. I use this controller for PC gaming (Steam).",5
Ashtitan,Love the red color,2024-10-15,"I had a blue controller where the rubber on the left stick was torn and came iff. I had some replacement sticks, but the controler was several years old. I decided to buy a new one. Looking at the options; I didn't want pink, white, nlack ir another blue. I decided to ho with red. The order arrived a day early on Sunday and I couldn't be happier. It has textured grips, I hate rubberized grips. The stucks and buttons are responsive and it has a comforable feel. I will definately look at this seller if I need more accessories.",5
Lenny,Purchase it on sale for $42,2024-10-04,Purchase the green on sale for $42 within the first week there were stick drift probably just a fluke they are made in mass production send it back reorder the blue one for $40 and got the red one for 40 as well. Can't be that price for brand new series X controller love the red and blue. Easily returned if you have a card on file they will send you a new one before you even send the one back you have 30 days to send it back or they will charge you for the new one definitely recommend just keep watching the prices fluctuate every few days,5
Usayed,Xbox Core Wireless Gaming Controller – Carbon Black Review,2024-07-24,"The Xbox Core Wireless Gaming Controller in Carbon Black is a fantastic addition to any gamer’s arsenal. This controller isn't just about looks—though it does sport a sleek, modern design—but it's also about functionality and comfort. Here’s why it stands out.",5
Colleen B.,My son loves it,2024-10-09,I can't even tell you how many Xbox controllers I have bought over the years. So far this one has been going strong. We have the rechargeable battery packs for it and he hasn't thrown it in frustration.,5
Tanvir Salahuddin,Nostalgia manifest,2024-10-16,"For those who miss the clear shell fad from the early 2000's, definitely pick this up. Reminds me of a simpler time in my life, and the interesting design language in electronics.",5
Bohdan Mashtaler,I like color and quality,2024-08-28,"I ordered new controllers, but received used one, and without original box. Wait a week for delivery, ow need to spend time to return this controller and wait for new one. Controller is good, but seller is worst!",4
Waters,Great controller,2024-10-10,Needed an upgrade from an old Xbox One controller after many years of faithful service and this fit the bill.,5
Laszlo Alberto Donaire Bonilla,Muy comodo,2024-10-11,"Me agrado su peso, la sensación, es bastante cómodo en general y cumple lo que promete y se ha sentido la calidad en el tiempo corto tiempo que lo he usado la parte de los agarras son un plus muy bueno no lo recomendaría para juegos de peleas por que vas a querer cuidarlo y que dure",5
Jim the beast,Good purchase,2024-09-12,"I was skeptical to purchase a Xbox controller online, after reading some mixed reviews I was anxious.",5
Adam,"It's a robot... no, it's an Xbox controller!",2024-10-15,"Needed this as a replacement controller after the right trigger on my old controller finally gave out. It's your standard Xbox controller, feels great, works great and doesn't cost $100+ like some of those elite controllers out there.",5
Sydney,Household favorite!,2024-10-13,"Have had for couple months and primarily used by an aggressive Xboxer and have not had a single problem! It’s been tossed, dropped, dipped, stepped on etc and still looks and works like the day it was delivered!",5
Keanu G.,Perfect Controller…Questionable Mailing,2024-10-12,"I bought this controller and it seems to be working perfectly so far, but when it was being mailed it had been delayed and the packaging was beat up. When I finally got it I was half expecting the controller to look like the box but thankfully it was okay.",4
Mundoclic,El mejor Joystick sin dudas,2024-10-11,Sin dudas es el joystick ideal para los jugadores de Xbox y PC combina buenos materiales de construcción como un hermoso diseño que se adapta a la perfección a cualquier tipo de gamers.,5
allyson,Perfect and from the ACTUAL xbox store,2024-10-10,"It can be tough to find genuine Xbox controllers on the website. I ordered from the official Xbox store, and the packaging was great. It even came with two Duracell batteries! Plus, it arrived really quickly. Highly recommend!",5
Pitt Prof,Nice Controller!,2024-10-10,"Bought this because the one that came with the XBOX was starting to act a bit wonky. Got it a bit under the going rate and have had zero issues. The color makes it easy to spot, too!",5
Serg,A huge upgrade for my PC gaming,2024-08-26,"I purchased the Velocity Green XBox controller because the 360 one I had been using for years on to play on my PC was finally giving out. What a huge improvement. Battery lasts a decent amount of time, but between my battery charger, it's really had to tell - and swapping the batteries is so easy, it doesn't really phase me. I've used it on my Samsung Frame as well, and it plays Gamepass on the TV with no noticeable lag. I'm very happy with this controller, and I don't need any of the fancy stuff the elite has. I just wish MS added a few more features to the controller like the DS5's adaptive triggers. But beyond that, the colors the best part.",4
Sulema,Box damaged but,2024-10-13,"Box is a bit damaged but the controller seems in good working order so far, really beautiful controller definitely recommend if your favorite color is blue.",4
Daniel Garcia,Good once you're comfortable with it,2024-09-22,"Everything in the quality of this controller is sound. My games run smooth, it works with c-type wires from other xbox controllers, and I love the responsiveness of everything. I only have a personal issue with the grip on the bottom. It was meant to help my hold on the controller but it feels like it makes my hands warmer than im used to. Other than that its a great fit for my build.",4
Trusty Rombone,"Incorrect product details, but perfect for PC",2024-10-02,"Listing says rechargeable AA batteries are included, but plain alkalines were in the box",5
William I. Hernandez Rios,Perfecto para mi Xbox,2024-09-14,"El color ""Velocity Green"" de este control es simplemente brutal. Cada vez que lo veo, me encanta aún más.",5
J3LG,Perfection!,2024-10-10,I've been wanting more clear tech so I love this! The 20th Anniversary controller was close but it's suffering from stick drift but this is still a great color option. Keep em coming!,5
Delta,fantastic upgrade,2024-09-10,"I recently got my hands on the Xbox Special Edition Wireless Gaming Controller, and I have to say, it’s a fantastic upgrade. The design is sleek and eye-catching, and the unique color scheme really makes it stand out. Holding it feels like a dream—ergonomically perfect with textured grips that keep your hands comfortable during those marathon sessions.",4
Brayan Stiven Aguilar C,Hermoso este control Cipher,2024-10-07,"Ya en mis manos es más hermoso de lo que creí, se ve excelente que control tan bacano, me llegó el paquete con deprisa sin ningún rasguño.",5
Cathy Schneider,My grandnephew loves it,2024-09-26,"I had it sent to my grandnephew for his birthday. From the moment it arrived until he has to go to school he was playing x-box games. His older brother already had one. But they had to share it. Now they can play together and compete,",5
Tranyce,Must buy for gamers.,2024-09-25,"This controller has saved my life. I used to own a really bad controller and ever since I bought this by gaming has enhance. And I think I am getting better at the game now if you are thinking of upgrading your controller, I heavily recommend this one.",5
Amazon Customer,Great controller but no Gamepass paper,2024-10-15,The controller is nice but it doesn't include the gamepass paper that comes with every controller.,5
Shauna,Durable and Reliable - A Must-Have Controller!,2024-08-24,"The Xbox Wireless Controller in Astral Purple is fantastic! Xbox has never failed me with their products, and this controller is no exception. It's durable, reliable, and built to last—everything you'd expect from Xbox.",5
adrian,Get to game again,2024-10-14,I have an Xbox 1 1st gen.,5
Jake,What it came with,2024-10-06,I ordered the version that came with the cord and was unaware that it didnt come with batteries like normal and the controllers no longer come with a 14 day free trial of gamepass,4
Connie,My new favorite,2024-10-06,"I have more controllers than I need, I know this, yet I keep finding new favorites. This is my most recent favorite. It looks good and feels good as well.",5
Kindle Customer,It's awesome.,2024-10-06,"Xbox wins again. A great looking and feeling controller, more grip than the original Series X controller. Reminds me of the translucent/transparent N64 controllers.",5
D. Tracy,"Worked fine, but....",2024-10-10,No problems. It's an Xbox controller. Lasted longer than most I think.,5
Ted,Good,2024-09-29,Working good i hope this controller work years and years to come. Xbox series x controller is easy to break. I broke 2 controller in just few months,4
Todd,"Prompt, timely delivery.",2024-10-15,Highly rated controller for a fair price was delivered on time. 5 stars.,5
amazon review,good oem product,2024-10-13,comfortable to hold for long periods. everything holds up well even under heavy usage.,5
Austin Gonzalez-Randolph,works great and good price,2024-09-25,"I love that it works and that it does not cost $70 like the PS5 controllers. Analogs give out eventually on controllers, it's good to have a fair priced option for replacements.",5
Verified Customer,Works great!,2024-10-11,I had company over and really appreciated the super fast shipping on this controller!,5
Danilo Andres Pineda Moreno,Genial!!,2024-10-16,M e gusto mucho el diseno y enl envio muy rapido super recomendado,5
Joshua Burwell,Great quality,2024-10-10,Wanted something custom and the controller is very nice.,4
Julián Mrtnz,Bueno!,2024-10-11,Lo malo es que aún venga con pilas y no Batería recargable,5
Rico,Controller,2024-10-13,Controller is very versatile and has a great feel to it.,5
DJ,Highly Recommended!,2024-10-13,Works well and is definitely needed for Xbox and PC gamers!,5
John Lechmanik,Works,2024-10-16,It works as good as any other replacement I have purchased.,5
Pat,Solid controller,2024-10-10,Welp atleast this package came …. Anyways it’s a solid controller,5
Alex,Yes,2024-10-12,"Very sturdy, great bday present for the husband! (And myself lol!)",5
MartyQ,"Solid & the standard, but...",2024-08-11,"Solid & the standard, but if you want to use this wirelessly with your Win10 PC, you may have trouble. It may work with Win11, but it did not work with my Win10 setup. I see online that MS warns about this & suggest you use a USB cable or their wireless USB adapter. USB cable did work. Also, I purchased a generic xbox-compatible wireless USB adapter & that worked well; but it was disappointing to pay $$ for a genuine MS Xbox controller, only to find it does not work with my Win10 PC. Since Win10 support is ending, unlikely MS will fix this.",4
Bailey Bannana,Great controller,2024-10-08,Haven't had any problems with drifting or sticky keys! love it,5
SKent,Replacement,2024-09-20,"Old ones wore out. Like the color on this one. Connected fine. Almost seems a little slower on the react. Biggest complaint is that they slight changed the back battery covers. In order to put this one in the charging stand, I have to remove that so the chargers connect.",4
CMeyers,Just what I was looking for,2024-09-20,PINK. I wanted a pink controller to use with my PC and this one has not disappointed. It has been dropped several times as well and still works like a charm. I highly recommend this controller.,5
Chris,Awesome controller,2024-09-16,"The color scheme is awesome (red is my favorite color), good response. It is taking me some getting used to the button layout for Xbox, I come Nintendo controllers, but I am getting better every time I use it.",5
JSpeed,Great product,2024-10-10,"This product functions exceptionally well. I bought another one because of that, now I have two for multiplayer games.",5
XW,Very useful,2024-09-26,Color: red,5
Matthew,Looks great,2024-09-25,Looks great. I have bought 2 because I really like the gold and black look. I got one for both my pc and labtop. The only issue and the reason for 4 stars is it took a week or a little longer to get.,4
Leonardbro Nocaprio,Connects to anything bluetooth,2024-10-11,I use this co roller for playing games on my phone and fire cube. All the buttons work.,5
Bob Landry,"Double-clicking ""A"" button?",2024-09-26,"I love it, except for the ""A"" button occasionally double-clicking.",4
Chris Howard,Good for Big Hands - But Batteries? Really?,2024-09-02,"This is a good controller. It's what windows expects, so setup was a breeze. Native support in all the games I play (mostly racing and platformers). D-pad is good for the classics despite the shape. Satisfyingly click-y buttons. Ergonomics are good for this big guy with big hands. Recommend getting a rechargeable battery pack, batteries are so 2005. It should come with a rechargeable battery pack, otherwise no complaints.",4
Sharon Fouke,I go through controllers quite a bit,2024-10-04,I'm just hoping these last more than 6 months. I play video games quite a bit and seem to go through controllers.......,4
chrispriiice,No drift,2024-10-10,I’ve had this controller for a while and use it a couple hours a week. Still works great.,5
Janae Cranston,Awesome Purchase,2024-10-14,very pleased with the purchase they work well,5
J131313,Xbox is still my favorite controller,2024-10-05,This is the X series. Definitely get a rechargeable battery and link to Bluetooth. Lasts for weeks on a charge,5
Nella Caasi,👍,2024-10-15,🎮🎮🎮 🤫🧏,4
Kenneth Hartger,👍,2024-10-13,Have never had any issues with my controller,5
La,Xbox Controller,2024-09-29,"Got this for my son on his 9th birthday and he loves it. So far he has had Green,Blue, Black and now Purple. Love the color, however I wish the back was purple also.",5
Natalia,Wireless,2024-09-03,Loooove,4
Excelente producto,Buena calidad,2024-10-13,Buen producto,4
AnotherMarie,Just for me,2024-10-06,It is great. New. In it's original box. I cannot wait to get matching charger set.,5
jeremiahbranch,Cute,2024-10-09,"Bought for my sister, best price",5
prestonwolf,Very useful,2024-10-10,Feels good works good love it,5
Jeffrey Jones,Works just fine.,2024-10-04,Pretty cool design and it works just fine I don't know why it was discounted.,5
Amazon Customer,Son loved it!,2024-10-04,My son loves this and the color is super fun!,5
Jeremiah Compton,Awesome color,2024-09-29,Love the color awesome remote well worth it,5
Rmsmash#20,Works great!,2024-09-05,"Its a wireless controller so idk what to say lol, but it works great, I just recommend buying a charging port with rechargeable batteries so you don't need to buy AA's all the time! It'll save a lot of money in the long run",5
"The wood was nice it was super soft,great lace but I did order a 28in wig and got a 26in wig when it arrived it did have like a basement smell to it but overall the wig was a great wig",Great controller,2024-10-06,I loved it came fast,5
Josue,You’re gonna need lots of batteries or get rechargeable ones,2024-10-13,Good overall just the batteries,5
Placeholder,Husband and son are stoked for their new green controller!,2024-10-07,My son and even my husband are still geeking out over this remote.,5
Chantay,Perfect Gaming Controller,2024-09-27,It’s perfect I bought it as a birthday gift for my older brother🥺it even more prettier in person. Would definitely recommend,5
knuckles,Xbox remote,2024-10-10,I like the black remote,5
Supercris56,Color de edición especial,2024-09-20,"El control viene listo para usar, el emparejamiento es rápido y se reconoce fácil en los dispositivos, la caja de empaque es un poco delgada pero cumple su funcion",4
Quality,The texture and colour,2024-10-03,The texture of this controller is satisfying,4
Tim McGrath,"Don't go for cheap junk, buy quality!",2024-08-09,"I've bought several ""no name"" brand controllers, and every single one breaks within the first few months. I finally decided to grab an Xbox controller for my PC and this thing is clutch. The design is superior. The feel is superior. You can just feel the quality. The longest lasting controller I have was from my Xbox One, and it lasted alllll these years. This one is 100% a quality improvement over the last, but that only makes sense, since it lasted me literally 10+ years!! I can tell this controller is going to last. I love the feel. So happy with the upgrade.",5
"Exelentes luces las tengo en 3 de mis acuarios plantado y estoy súper complacido ( son muy ligeras, lo digo por que al menos a mi me dieron la impresión de ser de menor calidad por pesar tan poco en comparación a otras , pero son excelentes ) las volvería a comprar",No lo que espera,2024-08-13,"Francamente tengo dos quejas que realmente no son tan graves, el empaque es muy feo es un carton super malo y honestamente soy de los que asocia el empaque con la calidad del producto, vino todo aplastado, pero el contro intacto. Por otro lado las baterías son unas Duracell no recargables lo que me parece muy mezquino de parte de la compañía no poner baterías recargables considerando que es algo que se espera de este tipo de productos, por lo demas esta ok",4
Daniel,Ok upgrade from 360 controller,2024-08-06,Finally upgraded from an old 360 controller. I like the textured back to the controller.,4
Cassandra,Love love love it,2024-08-30,"I PC game and I enjoy a dependable controller. Who doesn't? This controller has held up through 50 hours of gaming so far and outpaces my former controller. I love the way the RT/LT buttons are designed in such a sleek way, it makes for a smoother gaming experience. And the pink color is definitely the one to get! Highly recommend!",5
Christy Reynolds,Came in perfect!,2024-09-17,Controller’s joysticks actually feel better than from retail stores I’ve always been very picky on that aspect. It satisfied a ocd freak like me i recommend. 10/10,5
sthon,Excelente,2024-10-15,"Funciona perfectamente, consume poca batería",5
llyod,Get this instead of a dualshock,2024-09-16,"This controller is peak gaming performance, just troublesome that it does not connect to Bluetooth on pc, you'll need an adapter for it to work tirelessly, overall amazing controller, very comfortable.",5
Ashley,Pinkkkk,2024-09-25,Pink is my favorite color. It arrived on time and was easy to use right out the box. It is so vibrant!,5
kyri,fire,2024-09-25,i got this to play one piece burning blood and its amazing and works with tboi on my pc steam thing idk,5
